gadmPA,Score,por,elo,emk,ech,Lingualism,zScore,zpor,zelo,zemk,zech,category,Province,District,PostAdmin,NAME_1,NAME_2,iclat,iclong,score_por,score_elo,score_emk,score_ech,which_max,max,MainScore
"Nauela",9.4503269,.14337789,.97569865,0,0,.048602674,-.24320604,-1.0001658,-.25627151,,,"Low","ZAMBÉZIA","ALTO MOLOCUE","NAUELA","Zambezia","Alto Molocue",-15.364388,37.543827,2.7692308,9.8444691,,,"Elomwe",.97569865,9.8444691
"Sede (Alto Molocue)",11.498318,.20678741,.85192204,0,0,.0082776556,.17815506,.17037857,.16628782,,,"High","ZAMBÉZIA","ALTO MOLOCUE","SEDE MOLOCUÉ","Zambezia","Alto Molocue",-15.840492,37.789082,11.376319,11.09692,,,"Elomwe",.85192204,11.09692
"Mazua",10.661008,.22393321,0,1,0,.084883116,.0058838315,-.12108682,,.0058838315,,"Medium","NAMPULA","ERÁTI","ALUA","Nampula","Memba",-13.967119,40.56884,7.5476193,,11.07384,,"Emakhua",1,11.07384
"Alua",10.618687,.098484851,0,1,0,.065656565,-.0028234024,.48711663,,-.0028234024,,"Medium","NAMPULA","ERÁTI","ALUA-SEDE","Nampula","Namapa",-14.058167,39.933743,1.7878788,,12.415625,,"Emakhua",1,12.415625
"Namapa-Erati",12.926876,.27096725,0,.99460435,0,.11562912,.47207183,.18825048,,.47627079,,"High","NAMPULA","ERÁTI","NAMAPA","Nampula","Namapa",-13.704267,39.918861,8.8684025,,13.530879,,"Emakhua",.99460435,13.530879
"Gile",10.198502,.526788,.78281987,0,0,.187264,-.08927393,-.29512507,-.11683836,,,"Low","ZAMBÉZIA","GILÉ","SEDE GILÉ","Zambezia","Gile",-16.092848,38.220245,9.0745268,9.6595984,,,"Elomwe",.78281987,9.6595984
"Cidade De Gurue",11.967201,.49781036,.65748292,0,.003183228,.034484509,.27462482,.24142756,.12272325,,1.1043476,"High","ZAMBÉZIA","GURUÉ","GURUÉ SEDE","Zambezia","Gurue",-15.42323,37.075989,11.553029,11.602328,,,"Elomwe",.65748292,11.602328
"Lioma",13.104589,.37957671,1,0,0,0,.50863498,-.30998299,.50863498,,,"High","ZAMBÉZIA","GURUÉ","LIOMA","Zambezia","Gurue",-15.26218,36.85281,,13.104589,,,"Elomwe",1,13.104589
"Nepuagiua (Mepuagiua)",11.334415,.16603951,.8751176,0,0,.016462842,.14443316,-.029282412,.16835131,,,"High","ZAMBÉZIA","GURUÉ","MEPUAGIUA","Zambezia","Gurue",-15.61927,37.138741,8.8541079,11.647658,,,"Elomwe",.8751176,11.647658
"Ilha De Mocambique (Cidade)",8.9298534,.59214514,0,.96850836,0,.4681569,-.35029015,-.53946626,,-.34607053,,"Low","NAMPULA","ILHA DE MOÇAMBIQUE","ILHA-SEDE","Nampula","Mossuril",-15.05529,40.71431,5.7342896,,8.8233919,,"Emakhua",.96850836,8.8233919
"Lalaua",11.468796,.26273149,0,1,0,.15281534,.17208107,-.045652773,,.17208107,,"High","NAMPULA","LALAUA","LALAUA SEDE","Nampula","Lalaua",-14.402193,38.274944,6.9922605,,11.942484,,"Emakhua",1,11.942484
"Meti",9.5947094,.047980882,0,1,0,.02818631,-.21350017,-.36563021,,-.21350017,,"Low","NAMPULA","LALAUA","METI SEDE","Nampula","Lalaua",-14.55535,37.881104,4.5615582,,9.6605072,,"Emakhua",1,9.6605072
"Lugela",9.0935621,.49496531,0,.0065691238,.80953479,.092153907,-.31660807,-.28741923,,-.95308888,-.35788459,"Low","ZAMBÉZIA","LUGELA","LUGELA SEDE","Zambezia","Lugela",-16.284309,36.78677,7.3743753,,,8.3495378,"Echuwabo",.80953479,8.3495378
"Muabanama",12.088744,.7005772,0,0,1,0,.29963163,.17097914,,,.29963163,"High","ZAMBÉZIA","LUGELA","MUABANAMA","Zambezia","Lugela",-16.08745,36.508572,1,,,14.203609,"Echuwabo",1,14.203609
"Manhamade",10.757601,.65857637,.074543744,0,.79566079,0,.025757195,.32140866,-.33585793,,.10789758,"Medium","ZAMBÉZIA","LUGELA","MUNHAMADE","Zambezia","Lugela",-16.529409,36.95953,20.744583,9,,9.0745611,"Echuwabo",.79566079,9.0745611
"Tacuane",10.940326,.21820372,0,0,.97468352,.061482821,.063351691,.14553672,,,.089752749,"Medium","ZAMBÉZIA","LUGELA","TACUANE","Zambezia","Lugela",-16.411961,36.45628,6,,,11.233716,"Echuwabo",.97468352,11.233716
"Chihulo",10.526423,.32520324,0,1,0,0,-.02180616,.057626765,,-.02180616,,"Medium","NAMPULA","MALEMA","CHUHULO","Nampula","Malema",-14.564378,37.525417,4.507576,,12.063158,,"Emakhua",1,12.063158
"Malema",10.702,.64674354,0,.99824286,0,.361965,.014317632,.020305192,,.016382689,,"Medium","NAMPULA","MALEMA","MALEMA - SEDE","Nampula","Malema",-14.929501,37.596828,8.4576769,,11.254592,,"Emakhua",.99824286,11.254592
"Mutuali (Canhunha)",9.9220409,.58114815,0,1,0,.22537208,-.14615384,-.26259312,,-.14615384,,"Low","NAMPULA","MALEMA","MUTUALI","Nampula","Malema",-14.808622,37.043072,4.3785801,,12.031313,,"Emakhua",1,12.031313
"Mecuburi",10.268917,.44137198,0,1,0,.25457668,-.074786432,-.017069682,,-.074786432,,"Medium","NAMPULA","MECUBURI","MECUBURI-SEDE","Nampula","Mecuburi",-14.638966,38.9175,10.189069,,11.301888,,"Emakhua",1,11.301888
"Mihlana (Milhana)",9.3643656,.19475655,0,1,0,.23970038,-.26089194,.12706527,,-.26089194,,"Low","NAMPULA","MECUBURI","MUITE","Nampula","Mecuburi",-14.244604,39.116356,5.4268293,,10.163265,,"Emakhua",1,10.163265
"Itoculo",9.399334,.33627054,0,1,0,.14734946,-.2536974,-.13747634,,-.2536974,,"Low","NAMPULA","MEMBA","LUNGA","Nampula","Monapo",-14.647253,40.27702,1.9402986,,11.321538,,"Emakhua",1,11.321538
"Cidade De Mocuba",10.418174,.83641505,.22958195,0,.45653388,.2216887,-.044077769,-.019446306,-.29416752,,-.088197008,"Medium","ZAMBÉZIA","MOCUBA","MOCUBA SEDE","Zambezia","Mocuba",-16.970243,36.982819,10.976541,7.3595252,,9.7131462,"Portuguese",.83641505,10.976541
"Mugeba",11.054471,.6962353,.61376846,0,.36682129,0,.086836465,.020311069,-.00082291861,,.24498877,"Medium","ZAMBÉZIA","MOCUBA","MUGEBA","Zambezia","Mocuba",-16.672646,37.296852,10,10.624342,,11.843254,"Portuguese",.6962353,10
"Namajavira",11.982778,.55247664,.01362821,.0032922078,.88497943,.022684516,.27782956,.27859733,-.54275745,.48711663,.35495961,"High","ZAMBÉZIA","MOCUBA","NAMANJAVIRA","Zambezia","Mocuba",-16.741911,36.436546,9.4464369,7.9915967,,12.273723,"Echuwabo",.88497943,12.273723
"Calipo",9.3835382,.57505125,.018528005,.98147202,0,.11116804,-.25694737,-.21296161,.89860392,-.2787616,,"Low","NAMPULA","MOGOVOLAS","CALIPO","Nampula","Mogovolas",-15.499344,39.046608,1.6926332,,12.126441,,"Emakhua",.98147202,12.126441
"Nametil - Sede",10.325795,.23766446,0,1,0,.12006579,-.063084044,.0033699088,,-.063084044,,"Medium","NAMPULA","MOGOVOLAS","NAMETIL","Nampula","Mogovolas",-15.714573,39.410507,5.3056436,,13.334258,,"Emakhua",1,13.334258
